Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
static-season,,,,,,,Format,eBook,VLM-1010,,deny,manual,10.00,,FALSE,TRUE,,,,,,
the-understudy,The Understudy,"<p>When a minor actress is mistaken for a celebrity, she decides not to correct anyone. A wry, modern fable of borrowed lives.</p>",Priya Nadkarni,Contemporary,Contemporary,TRUE,Format,Paperback,VLM-1011,,deny,manual,17.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-understudy.jpg,1,The Understudy by Priya Nadkarni — original Vellum cover,The Understudy — Priya Nadkarni,"When a minor actress is mistaken for a celebrity, she decides not to correct anyone. A wry, modern fable of borrowed lives.",active
the-understudy,,,,,,,Format,Hardcover,VLM-1012,,deny,manual,27.00,,TRUE,TRUE,,,,,,
the-cartographers-of-sleep,The Cartographers of Sleep,"<p>On a colony where dreams are taxed, a lowly dream-auditor uncovers a conspiracy buried in the archives. Inventive, humane speculative fiction.</p>",Enoch Bell,Science Fiction,"Science Fiction,Sci-Fi",TRUE,Format,Paperback,VLM-1013,,deny,manual,19.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-cartographers-of-sleep.jpg,1,The Cartographers of Sleep by Enoch Bell — original Vellum cover,The Cartographers of Sleep — Enoch Bell,"On a colony where dreams are taxed, a lowly dream-auditor uncovers a conspiracy buried in the archives. Inventive, humane speculative fiction.",active
the-cartographers-of-sleep,,,,,,,Format,Hardcover,VLM-1014,,deny,manual,31.00,,TRUE,TRUE,,,,,,
ninth-light,Ninth Light,"<p>A generation ship wakes its passengers a century too early. A tense, philosophical voyage to the edge of the possible.</p>",Ravenna Osei,Science Fiction,"Science Fiction,Sci-Fi",TRUE,Format,Paperback,VLM-1015,,deny,manual,20.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/ninth-light.jpg,1,Ninth Light by Ravenna Osei — original Vellum cover,Ninth Light — Ravenna Osei,"A generation ship wakes its passengers a century too early. A tense, philosophical voyage to the edge of the possible.",active
ninth-light,,,,,,,Format,Hardcover,VLM-1016,,deny,manual,32.00,,TRUE,TRUE,,,,,,
ninth-light,,,,,,,Format,eBook,VLM-1017,,deny,manual,12.00,,FALSE,TRUE,,,,,,
the-salt-between-stars,The Salt Between Stars,<p>Two rival cartels mine memory from the vacuum of deep space. A noir-tinged odyssey of debts and doubles.</p>,Idris Falk,Science Fiction,"Science Fiction,Sci-Fi",TRUE,Format,Paperback,VLM-1018,,deny,manual,19.00,25.00,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-salt-between-stars.jpg,1,The Salt Between Stars by Idris Falk — original Vellum cover,The Salt Between Stars — Idris Falk,Two rival cartels mine memory from the vacuum of deep space. A noir-tinged odyssey of debts and doubles.,active
the-off-season,The Off-Season,"<p>A jaded travel writer and a stubborn innkeeper strike a bargain neither can keep professional. Warm, witty, and full of longing.</p>",Hattie Brenner,Romance,Romance,TRUE,Format,Paperback,VLM-1019,,deny,manual,16.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-off-season.jpg,1,The Off-Season by Hattie Brenner — original Vellum cover,The Off-Season — Hattie Brenner,"A jaded travel writer and a stubborn innkeeper strike a bargain neither can keep professional. Warm, witty, and full of longing.",active
the-off-season,,,,,,,Format,eBook,VLM-1020,,deny,manual,9.00,,FALSE,TRUE,,,,,,
letters-to-the-lighthouse-keeper,Letters to the Lighthouse Keeper,<p>A decade of anonymous correspondence blooms into something neither writer expected. A tender epistolary romance.</p>,Noor Haddad,Romance,Romance,TRUE,Format,Paperback,VLM-1021,,deny,manual,16.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/letters-to-the-lighthouse-keeper.jpg,1,Letters to the Lighthouse Keeper by Noor Haddad — original Vellum cover,Letters to the Lighthouse Keeper — Noor Haddad,A decade of anonymous correspondence blooms into something neither writer expected. A tender epistolary romance.,active
letters-to-the-lighthouse-keeper,,,,,,,Format,Hardcover,VLM-1022,,deny,manual,26.00,,TRUE,TRUE,,,,,,
the-tuesday-alibi,The Tuesday Alibi,<p>A defense attorney realizes her new client's story is impossibly identical to a case she buried years ago. A twisting legal thriller.</p>,Grant Sowell,Thriller,Thriller,TRUE,Format,Paperback,VLM-1023,,deny,manual,18.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-tuesday-alibi.jpg,1,The Tuesday Alibi by Grant Sowell — original Vellum cover,The Tuesday Alibi — Grant Sowell,A defense attorney realizes her new client's story is impossibly identical to a case she buried years ago. A twisting legal thriller.,active
the-tuesday-alibi,,,,,,,Format,Hardcover,VLM-1024,,deny,manual,28.00,,TRUE,TRUE,,,,,,
cold-harbor-nine,Cold Harbor Nine,<p>A decommissioned harbor. A missing crew. One detective who cannot let it go. Atmospheric and relentless.</p>,Ines Vogt,Thriller,Thriller,TRUE,Format,Paperback,VLM-1025,,deny,manual,18.00,23.00,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/cold-harbor-nine.jpg,1,Cold Harbor Nine by Ines Vogt — original Vellum cover,Cold Harbor Nine — Ines Vogt,A decommissioned harbor. A missing crew. One detective who cannot let it go. Atmospheric and relentless.,active
cold-harbor-nine,,,,,,,Format,eBook,VLM-1026,,deny,manual,10.00,,FALSE,TRUE,,,,,,
salt-and-ledger-a-merchants-memoir,Salt and Ledger: A Merchant's Memoir,<p>The invented memoir of a spice trader whose ledgers map three continents and a lifetime of near-misses.</p>,Amara Okonkwo,Biography,Biography,TRUE,Format,Paperback,VLM-1027,,deny,manual,20.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/salt-and-ledger-a-merchants-memoir.jpg,1,Salt and Ledger: A Merchant's Memoir by Amara Okonkwo — original Vellum cover,Salt and Ledger: A Merchant's Memoir — Amara Okonkwo,The invented memoir of a spice trader whose ledgers map three continents and a lifetime of near-misses.,active
salt-and-ledger-a-merchants-memoir,,,,,,,Format,Hardcover,VLM-1028,,deny,manual,32.00,,TRUE,TRUE,,,,,,
the-cartwright-notebooks,The Cartwright Notebooks,"<p>The collected journals of a fictional naturalist, gathered and annotated for the first time.</p>",Felix Marsh,Biography,Biography,TRUE,Format,Paperback,VLM-1029,,deny,manual,22.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-cartwright-notebooks.jpg,1,The Cartwright Notebooks by Felix Marsh — original Vellum cover,The Cartwright Notebooks — Felix Marsh,"The collected journals of a fictional naturalist, gathered and annotated for the first time.",active
the-cartwright-notebooks,,,,,,,Format,Hardcover,VLM-1030,,deny,manual,34.00,,TRUE,TRUE,,,,,,
a-brief-history-of-the-meridian-cities,A Brief History of the Meridian Cities,"<p>A sweeping, readable account of a fictional constellation of trading cities and the roads that bound them.</p>",Halvard Sten,History,History,TRUE,Format,Paperback,VLM-1031,,deny,manual,21.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/a-brief-history-of-the-meridian-cities.jpg,1,A Brief History of the Meridian Cities by Halvard Sten — original Vellum cover,A Brief History of the Meridian Cities — Halvard Sten,"A sweeping, readable account of a fictional constellation of trading cities and the roads that bound them.",active
a-brief-history-of-the-meridian-cities,,,,,,,Format,Hardcover,VLM-1032,,deny,manual,33.00,,TRUE,TRUE,,,,,,
the-amber-roads,The Amber Roads,"<p>How a single trade route reshaped language, cuisine, and power across an invented continent.</p>",Lucia Ferraro,History,History,TRUE,Format,Paperback,VLM-1033,,deny,manual,20.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-amber-roads.jpg,1,The Amber Roads by Lucia Ferraro — original Vellum cover,The Amber Roads — Lucia Ferraro,"How a single trade route reshaped language, cuisine, and power across an invented continent.",active
the-amber-roads,,,,,,,Format,eBook,VLM-1034,,deny,manual,12.00,,FALSE,TRUE,,,,,,
on-stillness,On Stillness,"<p>Short essays on attention, rest, and the quiet ethics of slowness.</p>",Bruno Achterberg,Philosophy,Philosophy,TRUE,Format,Paperback,VLM-1035,,deny,manual,16.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/on-stillness.jpg,1,On Stillness by Bruno Achterberg — original Vellum cover,On Stillness — Bruno Achterberg,"Short essays on attention, rest, and the quiet ethics of slowness.",active
on-stillness,,,,,,,Format,Hardcover,VLM-1036,,deny,manual,25.00,,TRUE,TRUE,,,,,,
the-uncertain-garden,The Uncertain Garden,<p>A gentle philosophy of doubt — on living well without tidy answers.</p>,Mira Solberg,Philosophy,Philosophy,TRUE,Format,Paperback,VLM-1037,,deny,manual,17.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/the-uncertain-garden.jpg,1,The Uncertain Garden by Mira Solberg — original Vellum cover,The Uncertain Garden — Mira Solberg,A gentle philosophy of doubt — on living well without tidy answers.,active
the-uncertain-garden,,,,,,,Format,eBook,VLM-1038,,deny,manual,10.00,,FALSE,TRUE,,,,,,
negative-space-the-art-of-whats-left-out,Negative Space: The Art of What's Left Out,"<p>A visual essay on emptiness in design, typography, and painting.</p>",Yuki Tanaka,Art & Design,Art & Design,TRUE,Format,Paperback,VLM-1039,,deny,manual,28.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/negative-space-the-art-of-whats-left-out.jpg,1,Negative Space: The Art of What's Left Out by Yuki Tanaka — original Vellum cover,Negative Space: The Art of What's Left Out — Yuki Tanaka,"A visual essay on emptiness in design, typography, and painting.",active
negative-space-the-art-of-whats-left-out,,,,,,,Format,Hardcover,VLM-1040,,deny,manual,42.00,,TRUE,TRUE,,,,,,
grids-and-gardens,Grids and Gardens,<p>On the hidden order behind great layouts — from illuminated manuscripts to modern screens.</p>,Oswald Frame,Art & Design,Art & Design,TRUE,Format,Paperback,VLM-1041,,deny,manual,26.00,,TRUE,TRUE,https://urban-canvas.github.io/wordripple-theme-documentation/assets/demo-covers/grids-and-gardens.jpg,1,Grids and Gardens by Oswald Frame — original Vellum cover,Grids and Gardens — Oswald Frame,On the hidden order behind great layouts — from illuminated manuscripts to modern screens.,active
grids-and-gardens,,,,,,,Format,Hardcover,VLM-1042,,deny,manual,40.00,,TRUE,TRUE,,,,,,
